qid,doc_id,rel,judgment_basis,matched_terms,source_slug
AI001,AI_d2l_linear_regression_0003_bc4bc0cf,3,answer_terms_in_pinned_source,2,d2l_linear_regression
AI001,AI_d2l_linear_regression_0005_1486cc5b,2,answer_terms_in_pinned_source,1,d2l_linear_regression
AI002,AI_d2l_linear_regression_0005_1486cc5b,3,answer_terms_in_pinned_source,2,d2l_linear_regression
AI002,AI_d2l_linear_regression_0011_52656cd6,2,answer_terms_in_pinned_source,2,d2l_linear_regression
AI003,AI_d2l_softmax_0003_7acae373,3,answer_terms_in_pinned_source,2,d2l_softmax
AI003,AI_d2l_softmax_0004_cd4277e1,2,answer_terms_in_pinned_source,2,d2l_softmax
AI004,AI_d2l_softmax_0007_d38ea792,3,answer_terms_in_pinned_source,2,d2l_softmax
AI004,AI_d2l_softmax_0008_1c0220d8,2,answer_terms_in_pinned_source,2,d2l_softmax
AI005,AI_d2l_mlp_0003_1080a4c9,3,answer_terms_in_pinned_source,2,d2l_mlp
AI005,AI_d2l_mlp_0004_9dd2c377,2,answer_terms_in_pinned_source,2,d2l_mlp
AI006,AI_d2l_backprop_0002_d796b72e,3,answer_terms_in_pinned_source,2,d2l_backprop
AI006,AI_d2l_backprop_0003_2019e4c4,2,answer_terms_in_pinned_source,2,d2l_backprop
AI007,AI_d2l_cnn_0002_9bacd3a0,3,answer_terms_in_pinned_source,2,d2l_cnn
AI007,AI_d2l_cnn_0007_826e2283,2,answer_terms_in_pinned_source,2,d2l_cnn
AI008,AI_d2l_rnn_0001_b1d09a1d,3,answer_terms_in_pinned_source,2,d2l_rnn
AI008,AI_d2l_rnn_0002_95dd548c,2,answer_terms_in_pinned_source,2,d2l_rnn
AI009,AI_d2l_attention_0001_0db8c2a5,3,answer_terms_in_pinned_source,3,d2l_attention
AI009,AI_d2l_attention_0004_a0680357,2,answer_terms_in_pinned_source,3,d2l_attention
AI010,AI_d2l_multihead_0001_f89a189f,3,answer_terms_in_pinned_source,1,d2l_multihead
AI010,AI_d2l_multihead_0002_8f1abd07,2,answer_terms_in_pinned_source,1,d2l_multihead
AI011,AI_d2l_transformer_0001_95088dfa,3,answer_terms_in_pinned_source,2,d2l_transformer
AI011,AI_d2l_transformer_0003_da66d28e,2,answer_terms_in_pinned_source,2,d2l_transformer
AI012,AI_d2l_transformer_0001_95088dfa,3,answer_terms_in_pinned_source,2,d2l_transformer
AI012,AI_d2l_transformer_0002_7063b2e3,2,answer_terms_in_pinned_source,2,d2l_transformer
AI013,AI_d2l_sgd_0002_0464fd6e,3,answer_terms_in_pinned_source,2,d2l_sgd
AI013,AI_d2l_sgd_0003_182450f8,2,answer_terms_in_pinned_source,2,d2l_sgd
AI014,AI_hf_transformers_tasks_0004_ad4e9652,3,answer_terms_in_pinned_source,1,hf_transformers_tasks
AI015,AI_hf_transformers_work_0002_82688984,3,answer_terms_in_pinned_source,2,hf_transformers_work
AI015,AI_hf_transformers_work_0003_7dbbcb28,2,answer_terms_in_pinned_source,2,hf_transformers_work
AI016,AI_hf_architectures_0001_224ecfb9,3,answer_terms_in_pinned_source,2,hf_architectures
AI017,AI_hf_tokenizers_0003_55acd62b,3,answer_terms_in_pinned_source,2,hf_tokenizers
AI017,AI_hf_tokenizers_0004_d648f663,2,answer_terms_in_pinned_source,2,hf_tokenizers
AI018,AI_hf_finetuning_0001_f13b813d,3,answer_terms_in_pinned_source,2,hf_finetuning
AI018,AI_hf_finetuning_0002_927b4338,2,answer_terms_in_pinned_source,2,hf_finetuning
AI019,AI_hf_learning_curves_0003_6d475764,3,answer_terms_in_pinned_source,2,hf_learning_curves
AI019,AI_hf_learning_curves_0004_ca126f0a,2,answer_terms_in_pinned_source,2,hf_learning_curves
AI020,AI_hf_semantic_search_0001_3aeac085,3,answer_terms_in_pinned_source,2,hf_semantic_search
AI020,AI_hf_semantic_search_0004_a17d37e8,2,answer_terms_in_pinned_source,2,hf_semantic_search
AI021,AI_hf_question_answering_0006_b093ed75,3,answer_terms_in_pinned_source,2,hf_question_answering
AI021,AI_hf_question_answering_0005_f3e6ad5a,2,answer_terms_in_pinned_source,1,hf_question_answering
AI022,AI_hf_lora_0001_cbdd363e,3,answer_terms_in_pinned_source,2,hf_lora
AI022,AI_hf_lora_0002_bbd56d70,2,answer_terms_in_pinned_source,1,hf_lora
AI023,AI_hf_llm_evaluation_0001_cf7f5a60,3,answer_terms_in_pinned_source,1,hf_llm_evaluation
AI023,AI_hf_llm_evaluation_0002_2f981d94,2,answer_terms_in_pinned_source,1,hf_llm_evaluation
AI024,AI_faiss_readme_0001_f3617b25,3,answer_terms_in_pinned_source,1,faiss_readme
AI025,AI_faiss_readme_0001_f3617b25,3,answer_terms_in_pinned_source,2,faiss_readme
