qid,query
AI001,监督学习中的线性回归如何定义损失函数？
AI002,小批量随机梯度下降为什么比逐样本计算更适合训练？
AI003,Softmax 回归如何把输出转换成类别概率？
AI004,交叉熵损失为什么适合多分类问题？
AI005,多层感知机为什么需要非线性激活函数？
AI006,反向传播如何利用计算图和链式法则计算梯度？
AI007,卷积神经网络中的平移不变性和局部性是什么意思？
AI008,循环神经网络的隐状态起什么作用？
AI009,注意力机制中的 Query、Key 和 Value 分别是什么？
AI010,多头注意力相比单头注意力有什么优势？
AI011,Transformer 编码器和解码器分别由哪些核心模块组成？
AI012,Transformer 为什么需要位置编码？
AI013,随机梯度下降中学习率如何影响收敛？
AI014,Transformer 可以用于哪些常见自然语言处理任务？
AI015,预训练和微调在 Transformer 模型中是什么关系？
AI016,仅编码器、仅解码器和编码器-解码器模型适合什么任务？
AI017,Tokenizer 如何把文本转换为模型可处理的输入 ID？
AI018,使用 Trainer 微调模型时训练集和验证集各有什么作用？
AI019,如何从学习曲线判断模型过拟合或欠拟合？
AI020,语义搜索如何使用 Embedding 和 FAISS 找到相似文本？
AI021,抽取式问答中的答案跨度是如何确定的？
AI022,LoRA 如何通过低秩矩阵减少需要训练的参数？
AI023,大语言模型评测为什么要结合自动指标和人工评测？
AI024,FAISS 支持哪些向量距离或相似度度量？
AI025,余弦相似度如何通过归一化向量的内积实现？
