qid,query,type
A001,死锁的四个必要条件是什么,A1
A002,TCP 可靠传输机制包括哪些,A1
A003,操作系统的主要功能有哪些,A1
A004,进程调度的评价指标有哪些,A1
A005,红黑树必须满足哪些性质,A1
A006,B 树和 B+ 树的主要特性有哪些,A1
A007,TCP 拥塞控制包含哪几个阶段,A1
A008,页面置换算法的常见类型有哪些,A1
A009,枚举操作系统中3种常见的内存分配算法,A1
A010,列出判断一个图是否为有向无环图的2种常用方法,A1
A011,枚举OSI七层模型中传输层的4项核心功能,A1
A012,列出进程从阻塞态转换为就绪态的3种触发条件,A1
A013,枚举构建大根堆时堆调整操作需满足的3个关键条件,A1
A014,枚举操作系统中4种常见的文件访问方式,A1
A015,列出数据结构中图的3种常用遍历算法,A1
A016,枚举TCP协议为缓解拥塞所采用的3种核心控制算法,A1
A017,列出判断一个文件是否为特殊文件的2个关键特征,A1
A018,枚举实现优先级队列的3种常用底层结构,A1
A019,Coffman 条件指的是什么,A2
A020,什么是 SYN Flood 攻击,A2
A021,什么是 ABA 问题,A2
A022,什么是 Tarjan 算法,A2
A023,什么是 Nagle 算法,A2
A024,什么是滑动窗口协议,A2
A025,什么是优先级反转,A2
A026,什么是零拷贝,A2
A027,什么是交换空间Swap Space,A2
A028,什么是跳表Skip List,A2
A029,什么是网络地址转换NAT,A2
A030,什么是文件控制块FCB,A2
A031,什么是拓扑排序Topological Sorting,A2
A032,什么是页框Page Frame,A2
A033,什么是并查集Union-Find,A2
A034,什么是ICMP协议,A2
A035,什么是临界区Critical Section,A2
A036,什么是哈希冲突Hash Collision,A2
A037,什么是 TLB,A3
A038,RTT 是什么,A3
A039,什么是 O(n log n) 复杂度,A3
A040,什么是 SYN、ACK,A3
A041,什么是 MTU,A3
A042,什么是 DMA,A3
A043,什么是 CAP 定理,A3
A044,什么是 FIFO,A3
A045,什么是DHCP,A3
A046,什么是SRTF调度算法,A3
A047,Floyd-Warshall算法的时间复杂度是什么,A3
A048,什么是MMU内存管理单元,A3
A049,什么是DAG有向无环图,A3
A050,什么是SMTP协议,A3
A051,什么是LRU页面置换算法,A3
A052,什么是KMP算法,A3
A053,进程和线程的区别是什么,A4
A054,TCP 和 UDP 的区别是什么,A4
A055,分页和分段的区别是什么,A4
A056,阻塞 IO 和非阻塞 IO 的区别,A4
A057,栈和堆的区别,A4
A058,同步和异步的区别,A4
A059,有向图与无向图的区别是什么,A4
A060,作业调度与进程调度的区别是什么,A4
A061,快速排序与归并排序的区别是什么,A4
A062,虚拟地址与物理地址的区别是什么,A4
A063,数组与链表的区别是什么,A4
A064,IPv4与IPv6的区别是什么,A4
A065,死锁预防与死锁避免的区别是什么,A4
A066,DFS与BFS的区别是什么,A4
