qid,doc_id,rank,score
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_445",1,0.0
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_448",2,0.0
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_469",3,0.0
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_461",4,0.0
A001,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_939,5,0.0
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_445,1,0.0
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_137,2,0.0
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_118,3,0.0
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_264,4,0.0
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_149,5,0.0
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_11,1,0.0
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_93",2,0.0
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_52",3,0.0
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_63",4,0.0
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_10,5,0.0
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_65,1,0.0
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_161",2,0.0
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_546,3,0.0
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_711",4,0.0
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_165",5,0.0
A005,数据结构 (邓俊辉) (Z-Library)_chunk_333,1,0.0
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_490",2,0.0
A005,数据结构 (邓俊辉) (Z-Library)_chunk_322,3,0.0
A005,数据结构 (邓俊辉) (Z-Library)_chunk_327,4,0.0
A005,数据结构 (邓俊辉) (Z-Library)_chunk_288,5,0.0
A006,数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_288,1,0.0
A006,数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_304,2,0.0
A006,数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_307,3,0.0
A006,数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_281,4,0.0
A006,数据结构 (邓俊辉) (Z-Library)_chunk_306,5,0.0
A007,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_547,1,0.0
A007,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_165,2,0.0
A007,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_302,3,0.0
