qid,doc_id,rel,source
A001,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_937,2,dense
A001,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_938,2,dense
A001,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_259,1,dense
A001,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_261,1,dense
A001,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_268,1,dense
A001,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_296,1,dense
A001,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_333,2,bm25/dense/dense_bm25/tfidf
A001,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_334,2,dense/dense_bm25
A001,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_337,1,bm25/dense/dense_bm25/tfidf
A001,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_338,1,dense/dense_bm25/tfidf
A001,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_568,1,bm25/dense/dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_440",1,bm25/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_444",1,bm25/dense/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_445",3,bm25/dense/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_446",1,bm25/dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_447",1,tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_448",1,bm25/dense/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_449",1,bm25/dense/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_452",1,dense
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_453",1,bm25/dense/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_454",1,dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_455",1,dense/dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_456",1,bm25/dense/dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_457",1,dense/dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_458",1,dense/dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_461",1,bm25/dense/dense_bm25/tfidf
