qid,original_query,final_query,decision,evaluation_status,fact_count,reason
A003,操作系统的主要功能有哪些,操作系统的主要功能有哪些,收缩评分事实,eligible,6,合并重复的抽象层与管理层表述，保留六类核心功能。
A008,页面置换算法的常见类型有哪些,教材中介绍的主要页面置换算法有哪些,改写问题并收缩事实,eligible,8,将开放的“常见类型”限定为教材范围，删除边界不清的随机策略。
A015,列出数据结构中图的3种常用遍历算法,图的两种基本遍历算法是什么,改写问题,eligible,2,教材只明确给出 DFS 和 BFS，将“3种”纠正为“两种基本遍历算法”。
A020,什么是 SYN Flood 攻击,什么是 SYN Flood 攻击,收缩评分事实,eligible,3,删除现有材料未直接说明的 SYN 队列耗尽细节。
A022,什么是 Tarjan 算法,什么是 Tarjan 算法,排除评测,excluded,0,问题含义不唯一，现有材料不能定义任何具体 Tarjan 算法。
A024,什么是滑动窗口协议,什么是滑动窗口协议,收缩评分事实,eligible,4,合并发送窗、接收窗和滑动动作，去掉 TCP 专属细节。
A030,什么是文件控制块FCB,什么是文件控制块FCB,排除评测,excluded,0,现有材料不能直接回答 FCB 定义。
A043,什么是 CAP 定理,什么是 CAP 定理,排除评测,excluded,0,现有证据不足，且本轮不补充资料。
A046,什么是SRTF调度算法,什么是SRTF调度算法,排除评测,excluded,0,现有证据不足以定义 SRTF。
A047,Floyd-Warshall算法的时间复杂度是什么,Floyd-Warshall算法的时间复杂度是什么,确认保留,eligible,1,单事实问题定义清晰，证据充分，多组最小证据均可独立支撑。
A058,同步和异步的区别,数据通信中同步传输与异步传输的区别是什么,限定问题范围,eligible,3,限定为数据通信，删除操作系统调用和时分复用两个不同语境。
A060,作业调度与进程调度的区别是什么,作业调度与进程调度的区别是什么,收缩评分事实,eligible,2,只比较调度对象与作用，删除材料中需推断的频率和系统类型。
A061,快速排序与归并排序的区别是什么,快速排序与归并排序的区别是什么,收缩并纠正评分事实,eligible,4,删除无证据的归并稳定性和链表适用性，只保留材料明确支持的差异。
A063,数组与链表的区别是什么,数组与链表的区别是什么,合并评分事实,eligible,5,把十个细碎事实合并为存储、访问、修改、空间和适用场景五个维度。
A064,IPv4与IPv6的区别是什么,IPv4与IPv6的区别是什么,收缩并纠正评分事实,eligible,6,删除安全性、资源预分配、PDU 名称等边缘或易争议表述，保留六项核心差异。
