qid,evidence_id,rel,legacy_chunk_id,annotation_source
A001,ev_b1364c95ead3bb57b3b2,2,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_937,dense
A001,ev_1918c54622ad00ae4606,2,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_938,dense
A001,ev_c986377f1a183bdea29c,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_259,dense
A001,ev_5dc8d754dd71a256cdb8,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_261,dense
A001,ev_d40f1e20f8f4decad708,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_268,dense
A001,ev_6ff6ce1c55ead19c5244,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_296,dense
A001,ev_fb0a823f80558945d6e1,2,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_333,bm25/dense/dense_bm25/tfidf
A001,ev_f1647dc7c0cfd7f120db,2,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_334,dense/dense_bm25
A001,ev_f790906411a6d92dbd90,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_337,bm25/dense/dense_bm25/tfidf
A001,ev_dccab22931ba0cdee705,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_338,dense/dense_bm25/tfidf
A001,ev_b05c88a8a69d7cd25f20,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_568,bm25/dense/dense_bm25
A001,ev_9dbec55a66a480461214,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_440",bm25/dense_bm25/tfidf
A001,ev_e1bb663f2d1c6849f799,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_444",bm25/dense/dense_bm25/tfidf
A001,ev_67ff0a1c2697eb10ea6f,3,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_445",bm25/dense/dense_bm25/tfidf
A001,ev_4cee92c8f5c26a33f19b,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_446",bm25/dense_bm25
A001,ev_88cd1f850db723547150,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_447",tfidf
A001,ev_fea55a4f986881756bdd,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_448",bm25/dense/dense_bm25/tfidf
A001,ev_1b60e19e15dffe5edcc6,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_449",bm25/dense/dense_bm25/tfidf
A001,ev_2537c98d94a0924163a7,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_452",dense
A001,ev_b8e7e88cc710232960e0,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_453",bm25/dense/dense_bm25/tfidf
A001,ev_ba867224d92045c1f180,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_454",dense_bm25
A001,ev_4ecdf5b67b1b23ae0052,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_455",dense/dense_bm25
A001,ev_3993407f31148d9a4c11,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_456",bm25/dense/dense_bm25
A001,ev_434706cfddc243ccf8b9,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_457",dense/dense_bm25
A001,ev_04e26049c5f9c6dec825,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_458",dense/dense_bm25
A001,ev_b908f147faaa2b3a0cf0,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_461",bm25/dense/dense_bm25/tfidf
A001,ev_d0021f0695a27256bc20,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_465",dense/dense_bm25
A001,ev_ade822ff06c5f27ad6e7,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_466",bm25/dense/dense_bm25/tfidf
A001,ev_e2dfc6e1b1f33c6a0b8d,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_467",dense
A001,ev_68bb6d8e578a3b2cfaa1,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_468",bm25/dense_bm25/tfidf
A001,ev_72b1d9ea17de53bf9201,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_469",bm25/dense/dense_bm25/tfidf
A001,ev_825da9e816b142848567,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_470",bm25/dense_bm25
