qid,query,type,doc_id,subject,chunk_file,source_systems,dense_rank,dense_bm25_rank,rerank_rank,dense_score,dense_bm25_score,rerank_score,text,rel,review_status,review_note,auto_rel,auto_confidence,auto_reason
A001,死锁的四个必要条件是什么,A1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_445",Operating System,os_chunks.json,dense/dense_bm25/rerank,2,1,1,0.706131,0.032522,0.999902,"6.2.1 资源死锁的条件
Coffman等人(1971)总结了发生(资源)死锁的四个必要条件：
1)互斥条件。
每个资源要么已经分配给了一个进程，要么就是可用的。
2)占有和等待条件。
已经得到了某个资源的进程可以再请求新的资源。
3)不可抢占条件。
已经分配给一个进程的资源不能强制性地被抢占，它只能被占有它的进程显式地释放。
4)环路等待条件。
死锁发生时，系统中一定有由两个或两个以上的进程组成的一条环路，该环路中 的每个进程都在等待着下一个进程所占有的资源。
死锁发生时，以上四个条件一定是同时满足的。
如果其中任何一个条件不成立，死锁就不会发生。
值得注意的是，每一个条件都与系统的一种可选策略相关。
一种资源能否同时分配给不同的进程?
一个进程能否在占有一个资源的同时请求另一个资源?
资源能否被抢占?
循环等待环路是否存在?
我们 在后面会看到怎样通过破坏上述条件来预防死锁。",3,existing,,,,
A001,死锁的四个必要条件是什么,A1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_461",Operating System,os_chunks.json,dense/dense_bm25/rerank,1,2,5,0.73269,0.032018,0.992412,"6.6 死锁预防
通过前面的学习我们知道，死锁避免从本质上来说是不可能的，因为它需要获知未来的请求，而这 些请求是不可知的。
那么实际的系统又是如何避免死锁的呢?
我们回顾Coffman 等人(1971)所述的四 个条件，看是否能发现线索。
如果能够保证四个条件中至少有一个不成立，那么死锁将不会产生 (Havender,1968)。
6.6.1 破坏互斥条件
先考虑破坏互斥使用条件。
如果资源不被一个进程所独占，那么死锁肯定不会产生。
当然，允许两 个进程同时使用打印机会造成混乱，通过采用假脱机打印机(spooling printer) 技术可以允许若干个进 程同时产生输出。
该模型中唯一真正请求使用物理打印机的进程是打印机守护进程，由于守护进程决不 会请求别的资源，所以不会因打印机而产生死锁。
假设守护进程被设计为在所有输出进入假脱机之前就开始打印，那么如果一个输出进程在头一轮打印 之后决定等待几个小时，打印机就可能空置。
为了避免这种现象，一般将守护进程设计成在完整的输出文 件就绪后才开始打印。
例如，若两个进程分别占用了可用的假脱机磁盘空间的一半用于输出，而任何一个
也没有能够完成输出，那么会怎样?
在这种情形下，就会有两个进程，其中每一个都完成了部分的输出， 但不是它们的全部输出，于是无法继续进行下去。
没有一个进程能够完成，结果在磁盘上出现了死锁。
不过，有一个小思路是经常可适用的。
那就是，避免分配那些不是绝对必需的资源，尽量做到尽可 能少的进程可以真正请求资源。",1,existing,,,,
A001,死锁的四个必要条件是什么,A1,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_937,Operating System,os_chunks.json,rerank,,,2,,,0.999202,"The routine acquires said locks in some arbitrary order (say v1 then v2) in order to add the contents of v2 to v1.
If some other thread calls v2.AddAll(v1) at nearly the same time, we have the potential for deadlock, all in a way that is quite hidden from the calling application.
COMMON CONCURRENCY PROBLEMS 365
Conditions for Deadlock
Four conditions need to hold for a deadlock to occur [C+71]:
• Mutual exclusion: Threads claim exclusive control of resources that they require (e.g., a thread grabs a lock).
• Hold-and-wait: Threads hold resources allocated to them (e.g., locks that they have already acquired) while waiting for additional re- sources (e.g., locks that they wish to acquire).
• No preemption: Resources (e.g., locks) cannot be forcibly removed from threads that are holding them.",2,existing,,,,
A001,死锁的四个必要条件是什么,A1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_448",Operating System,os_chunks.json,dense/dense_bm25/rerank,3,3,3,0.659863,0.032002,0.997388,"3)仔细对资源进行分配，动态地避免死锁。
4)通过破坏引起死锁的四个必要条件之一，防止死锁的产生。
下面四节将分别讨论这四种方法。
6.3 鸵鸟算法
最简单的解决方法是鸵鸟算法：把头埋到沙子里，假装根本没有问题发生甲。
每个人对该方法的看 法都不相同。
数学家认为这种方法根本不能接受，不论代价有多大，都要彻底防止死锁的产生；工程师 们想要了解死锁发生的频度、系统因各种原因崩溃的发生次数以及死锁的严重性。
如果死锁平均每5年 发生一次，而每个月系统都会因硬件故障、编译器错误或者操作系统故障而崩溃一次，那么大多数的工 程师不会以性能损失和可用性的代价去防止死锁。
为了能够让这一对比更具体，考虑如下情况的操作系统：当一个open 系统调用因物理设备(例如 蓝光驱动器或者打印机)忙而不能得到响应的时候，操作系统会阻塞调用该系统调用的进程。
通常是由 设备驱动来决定在这种情况下应该采取何种措施。
显然，阻塞或者返回一个错误代码是两种选择。
如果 一个进程成功地打开了蓝光驱动器，而另一个进程成功地打开了打印机，这时每个进程都会试图去打开 另外一个设备，系统会阻塞这种尝试，从而发生死锁。
现有系统很少能够检测到这种死锁。",1,existing,,,,
A001,死锁的四个必要条件是什么,A1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_469",Operating System,os_chunks.json,dense_bm25/rerank,,7,4,,0.027237,0.996095,"6.9 小结
死锁是任何操作系统中都存在的潜在问题。
当一组进程中的每个进程都因等待由该组进程中的另一 进程所占有的资源而导致阻塞，死锁就发生了。
这种情况会使所有的进程都处于无限等待的状态。
一般 来讲，这是进程一直等待被其他进程占用的某些资源释放的事件。
死锁的另外一种可能情况是一组通信 进程都在等待一个消息，而通信信道却是空的，并且也没有采用超时机制。
通过跟踪哪一个状态是安全状态，哪一个状态是不安全状态，可以避免资源死锁。
安全状态就是这 样一个状态：存在一个事件序列，保证所有的进程都能完成。
不安全状态就没有这样的保证。
银行家算 法可以通过拒绝可能引起不安全状态的请求来避免死锁。
也可以在设计系统时从系统结构上预防资源死锁的发生，这样可以永久性地解决资源死锁问题。
例 如，只允许进程在任何时刻最多占有一个资源，这就破坏了循环等待环路。
也可以将所有的资源编号， 规定进程按严格的升序请求资源，这样也能预防死锁。
资源死锁并不是唯一的一种死锁。
尽管我们可以通过设置适当的超时机制来解决通信死锁，但它依 然是某些系统中潜在的问题。
习题
1.给出一个由策略产生的死锁的例子。
3.在前一题中，哪些资源是可抢占的，哪些资源 是不可抢占的?
4.在图6-1中，资源释放的顺序与获得的顺序相反， 以其他的顺序释放资源能否得到同样的结果?
5.一个资源死锁的发生有四个必要条件(互斥使 用资源、占有和等待资源、不可抢占资源和环 路等待资源)。
举一个例子说明它们对于一个资 源死锁的发生不是充分条件。
何时这些条件对 一个资源死锁的发生是充分条件?
6.城市街道很容易遇到循环阻塞的情况，我们称 之为“僵局”。
其中交叉路口被汽车堵塞，这些
汽车阻塞了它们后面的汽车，进而又阻塞了试 图进入前面路口的车辆。
城市街区的所有路口 都以一种循环的方式遍布被阻塞的汽车。
“僵局” 是一个资源死锁和同步竞争的问题。
纽约市的 预防算法称为“非阻塞盒子”,除非一个交叉路 口的后续空间是非阻塞的，否则禁止汽车进入 这个交叉路口。
这是哪种预防算法?",1,existing,,,,
A001,死锁的四个必要条件是什么,A1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_457",Operating System,os_chunks.json,dense,4,,,0.655205,,,"6.5 死锁避免
在讨论死锁检测时，我们假设当一个进程请求资源时，它一次就请求所有的资源(见图6-6中的矩
阵R) 。
不过在大多数系统中， 一次只请 求一个资源。
系统必须能够判断分配资 源是否安全，并且只能在保证安全的条 件下分配资源。
问题是：是否存在一种 算法总能做出正确的选择从而避免死 锁?
答案是肯定的，但条件是必须事先 获得一些特定的信息。
本节我们会讨论 几种死锁避免的方法。
6.5.1 资源轨迹图
避免死锁的主要算法是基于一个安 全状态的概念。
在描述算法前，我们先 讨论有关安全的概念。
通过图的方式， 能更容易理解。
虽然图的方式不能被直
打印机
绘图仪
图6-8 两个进程的资源轨迹图
接翻译成有用的算法，但它给出了一个解决问题的直观感受。
在图6-8中，我们看到一个处理两个进程和两种资源(打印机和绘图仪)的模型。
横轴表示进程A执 行的指令，纵轴表示进程B执行的指令。
进程A 在I处请求一台打印机，在I₃ 处释放，在I₂处请求一台绘 图仪，在I₄ 处释放。
进程B在I 到I₇之间需要绘图仪，在I₆ 到I₈ 之间需要打印机。
图6-8中的每一点都表示出两个进程的连接状态。
初始点为p, 没有进程执行任何指令。
如果调度程 序选中A先运行，那么在A执行一段指令后到达q, 此 时B没有执行任何指令。
在q点，如果轨迹沿垂直方 向移动，表示调度程序选中B 运行。
在单处理机情况下，所有路径都只能是水平或垂直方向的，不会出 现斜向的。
因此，运动方向一定是向上或向右，不会向左或向下，因为进程的执行不可能后退。
当进程A由 r向s 移动穿过I,线时，它请求并获得打印机。
当进程B到达t时，它请求绘图仪。
图中的阴影部分是我们感兴趣的，画着从左下到右上斜线的部分表示在该区域中两个进程都拥有打 印机，而互斥使用的规则决定了不可能进入该区域。
另一种斜线的区域表示两个进程都拥有绘图仪，且 同样不可进入。
如果系统一旦进入由I₁ 、I₂ 和I₅ 、I₆ 组成的矩形区域，那么最后一定会到达I₂ 和I₆的交叉点，这时就产 生死锁。
在该点处，A 请求绘图仪， B 请求打印机，而且这两种资源均已被分配。
这整个矩形区域都是 不安全的，因此决不能进入这个区域。
在点t处唯一的办法是运行进程A直到I₄, 过 了I₄ 后，可以按任何 路线前进，直到终点u。
需要注意的是，在点t 进程B请求资源。
系统必须决定是否分配。
如果系统把资源分配给B, 系统进 入不安全区域，最终形成死锁。
要避免死锁，应该将B挂起，直到A请求并释放绘图仪。",1,existing,,,,
A001,死锁的四个必要条件是什么,A1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_91",Operating System,os_chunks.json,dense_bm25,,4,,,0.028485,,"第4章里，我们会讨论有关文件系统的所有重要内容。
在某种程度上，用户看到的是大量文件系统。
我们将研究文件系统接口和文件系统的实现。
输入/输出是第5章的内容。
这一章介绍设备独立性和设备依赖性的概念，将以若干重要的设备(包 括磁盘、键盘以及显示设备)为例进行讲解。
第6章讨论死锁。
在这一章中我们概要地说明什么是死锁，还讨论避免死锁的方法。
有一个非常重要的主题就是操作系统安全，它是第9章的内容。
在这一章中讨论的内容涉及威胁 (例如，病毒和蠕虫)、保护机制以及安全模型。
随后，我们安排了一些实际操作系统的案例。
它们是：UNIX 、Linux 和Android (第10章), Windows 8 (第11章)。
本书以第12章关于操作系统设计的一些思考作为结束。",1,existing,,,,
A001,死锁的四个必要条件是什么,A1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_334,Operating System,os_chunks.json,dense/rerank,5,,8,0.652532,,0.940383,"非抢占：线程获得的资源（例如锁），不能被抢占。
循环等待：线程之间存在一个环路，环路上每个线程都额外持有一个资源，而这个资源又是下一个线程要申请的。
如果这 4 个条件的任何一个没有满足，死锁就不会产生。
因此，我们首先研究一下预防死锁的方法；每个策略都设法阻止某一个条件，从而解决死锁的问题。
预防
循环等待
也许最实用的预防技术（当然也是经常采用的），就是让代码不会产生循环等待。
最直接的方法就是获取锁时提供一个全序（total ordering）。
假如系统共有两个锁（L1 和 L2），那么我们每次都先申请 L1 然后申请 L2，就可以避免死锁。
这样严格的顺序避免了循环等待，也就不会产生死锁。
① “D”表示“Deadlock ”。
持有并等待
死锁的持有并等待条件，可以通过原子地抢锁来避免。
实践中，可以通过如下代码来实现：
1 lock(prevention);
2 lock(L1);
3 lock(L2); 4 ...
5 unlock(prevention);
先抢到 prevention 这个锁之后，代码保证了在抢锁的过程中，不会有不合时宜的线程切换，从而避免了死锁。
当然，这需要任何线程在任何时候抢占锁时，先抢到全局的 prevention锁。
例如， 如果另一个线程用不同的顺序抢锁 L1 和 L2，也不会有问题，因为此时，线程已经抢到了 prevention 锁。
注意，出于某些原因，这个方案也有问题。
和之前一样，它不适用于封装：因为这个方案需要我们准确地知道要抢哪些锁，并且提前抢到这些锁。
因为要提前抢到所有锁（同时），而不是在真正需要的时候，所以可能降低了并发。
非抢占
在调用 unlock 之前，都认为锁是被占有的，多个抢锁操作通常会带来麻烦， 因为我们等待一个锁时，同时持有另一个锁。
很多线程库提供更为灵活的接口来避免这种情况。
具体来说，trylock()函数会尝试获得锁，或者返回-1，表示锁已经被占有。
你可以稍后重试一下。
1 top:
2 lock(L1);
3 if (trylock(L2) == -1) {",2,existing,,,,
A001,死锁的四个必要条件是什么,A1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_337,Operating System,os_chunks.json,dense/dense_bm25,9,5,,0.606733,0.028006,,"除了死锁预防，某些场景更适合死锁避免（avoidance）。
我们需要了解全局的信息， 包括不同线程在运行中对锁的需求情况，从而使得后续的调度能够避免产生死锁。
例如，假设我们需要在两个处理器上调度 4 个线程。
更进一步，假设我们知道线程 1 （T1）需要用锁 L1 和 L2 ，T2 也需要抢 L1 和 L2 ，T3 只需要 L2 ，T4 不需要锁。
我们用表32.2 来表示线程对锁的需求。
表 32.2 线程对锁的需求
一种比较聪明的调度方式是，只要 T1 和 T2 不同时运行，就不会产生死锁。
下面就是这种方式：
请注意，T3 和 T1 重叠，或者和 T2 重叠都是可以的。
虽然 T3 会抢占锁 L2，但是由于它只用到一把锁，和其他线程并发执行都不会产生死锁。
① 聪明的读者可能会问，为什么我们这么晚才抢锁，而不是就在进入 insert()时。
聪明的读者，你可以弄清楚为什么这可能是正确的？
我们再来看另一个竞争更多的例子。
在这个例子中，对同样的资源（又是锁 L1 和 L2）有更多的竞争。
锁和线程的竞争如表 32.3 所示。
表 32.3 锁和线程的竞争
特别是，线程 T1 、T2 和 T3 执行过程中，都需要持有锁 L1 和 L2。
下面是一种不会产生死锁的可行方案：
Dijkstra 提出的银行家算法[D64]是一种类似的著名解决方案，文献中也描述了其他类似的方案。
遗憾的是，这些方案的适用场景很局限。
例如，在嵌入式系统中，你知道所有任务以及它们需要的锁。
另外，和上文的第二个例子一样，这种方法会限制并发。
因此，通过调度来避免死锁不是广泛使用的通用方案。
检查和恢复
最后一种常用的策略就是允许死锁偶尔发生， 检查到死锁时再采取行动。
举个例子，如果一个操作系统一年死机一次，你会重启系统，然后愉快地（或者生气地）继续工作。
如果死锁很少见，这种不是办法的办法也是很实用的。
很多数据库系统使用了死锁检测和恢复技术。
死锁检测器会定期运行，通过构建资源图来检查循环。
当循环（死锁）发生时，系统需要重启。",1,existing,,,,
A001,死锁的四个必要条件是什么,A1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_446",Operating System,os_chunks.json,rerank,,,6,,,0.992341,"6.2.2 死锁建模
Holt(1972) 指出如何用有向图建立上述四个条件的模型。
在有向图中有两类节点：用圆形表示 的进程，用方形表示的资源。
从资源节点到进程节点的有向边代表该资源已被请求、授权并被进程占用。
在图6-3a 中，当前资源R 正 被 进 程A占 用 。
由进程节点到资源节点的有向边表明当前进程正 在请求该资源，并且该进程已被阻塞，处于等待该资 源的状态。
在图6-3b中 ， 进 程B正等待着资源S 。
图6- 3c 说明进入了死锁状态：进程C等待着资源T, 资源T被进 程D占用着，进程D又等待着由进程C占用着的资源U。
这样两个进程都得等待下去。
图中的环表示与这些进 程和资源有关的死锁。
在本例中，环是C-T-D-U-C。
a)
b)
c)
我们再看看使用资源分配图的方法。
假设有三个进 程 (A,B,C) 及三个资源 (R,S,T) 。
三个进程对资 源的请求和释放序列分别对应6-4a～图6-4c 。
操 作 系 统
图6-3 资源分配图：a) 占有一个资源；b) 请求
一 个资源； c) 死 锁
可以随时选择任一非阻塞进程运行，所以它可选择A运行 一 直到A完成其所有工作，接着运行B, 最 后 运 行C。
A
请求R
请求S
释放R
释放S
a)
B
请求S 请求T 释放S 释放T b)
C
请求T 请求R 释放T 释放R c)
1.A 请求R
2.B 请求S
3.C 请求T
4.A 请求S
5.B 请求T
6.C 请求R 死锁
d)
1.A 请求R
2.C 请求T
3.A 请求S
4.C 请求B
5.A 释放R
6.A 释放S 无死锁
k)
e) f) g)
h) i) j)
I) m) n)
o) p) q)
图6-4 一 个死锁是如何产生以及如何避免的例子
上述的执行次序不会引起死锁(因为没有资源的竞争),但程序也没有任何并行性。
进程在执行过 程中，不仅要请求和释放资源，还要做计算或者输入/输出工作。
如果进程是串行运行，不会出现一个 进程等待I/O的同时让另一个进程占用CPU 进行计算的情形。
因此，严格的串行操作有可能不是最优的。",1,existing,,,,
