qid	doc_id	relevance	score
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_547	1	0.9999
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_566	1	0.9924
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_561	0	0.3181
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_1189	0	0.1207
A001	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_541	0	0.0506
A002	计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_163	1	0.9270
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_464	1	0.7226
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_535	0	0.4272
A002	2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_480	0	0.3846
A002	计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_384	0	0.1002
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_113	1	0.9958
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_12	1	0.9794
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_421	1	0.9184
A003	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_34	1	0.8552
A003	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_34	0	0.2718
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_221	0	0.4564
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_208	0	0.4438
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_96	0	0.3412
A004	操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_43	0	0.0256
A004	现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_1153	0	0.0249
A005	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_602	1	0.9526
A005	数据结构 (邓俊辉) (Z-Library)_chunk_384	1	0.7754
A005	数据结构 (邓俊辉) (Z-Library)_chunk_383	0	0.3662
A005	[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_606	0	0.2176
A005	数据结构 (邓俊辉) (Z-Library)_chunk_390	0	0.0558
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_333	1	0.9986
A006	数据结构 (邓俊辉) (Z-Library)_chunk_357	1	0.9748
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_173	0	0.1833
A006	数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_209	0	0.0993
